Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
"Wii Sports","Wii",2006,"Sports","Nintendo",41.490000,29.020000,3.770000,8.460000,82.740000
"Super Mario Bros.","NES",1985,"Platform","Nintendo",29.080000,3.580000,6.810000,0.770000,40.240000
"Mario Kart Wii","Wii",2008,"Racing","Nintendo",15.850000,12.880000,3.790000,3.310000,35.820000
"Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.750000,11.010000,3.280000,2.960000,33.000000
"Pokemon Red/Pokemon Blue","GB",1996,"Role-Playing","Nintendo",11.270000,8.890000,10.220000,1.000000,31.370000
"Tetris","GB",1989,"Puzzle","Nintendo",23.200000,2.260000,4.220000,0.580000,30.260000
"New Super Mario Bros.","DS",2006,"Platform","Nintendo",11.380000,9.230000,6.500000,2.900000,30.010000
"Wii Play","Wii",2006,"Misc","Nintendo",14.030000,9.200000,2.930000,2.850000,29.020000
"New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",14.590000,7.060000,4.700000,2.260000,28.620000
"Duck Hunt","NES",1984,"Shooter","Nintendo",26.930000,0.630000,0.280000,0.470000,28.310000
"Nintendogs","DS",2005,"Simulation","Nintendo",9.070000,11.000000,1.930000,2.750000,24.760000
"Mario Kart DS","DS",2005,"Racing","Nintendo",9.810000,7.570000,4.130000,1.920000,23.420000
"Pokemon Gold/Pokemon Silver","GB",1999,"Role-Playing","Nintendo",9.000000,6.180000,7.200000,0.710000,23.100000
"Wii Fit","Wii",2007,"Sports","Nintendo",8.940000,8.030000,3.600000,2.150000,22.720000
"Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.090000,8.590000,2.530000,1.790000,22.000000
"Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",14.970000,4.940000,0.240000,1.670000,21.820000
"Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",7.010000,9.270000,0.970000,4.140000,21.400000
"Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",9.430000,0.400000,0.410000,10.570000,20.810000
"Super Mario World","SNES",1990,"Platform","Nintendo",12.780000,3.750000,3.540000,0.550000,20.610000
"Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc","Nintendo",4.750000,9.260000,4.160000,2.050000,20.220000
"Pokemon Diamond/Pokemon Pearl","DS",2006,"Role-Playing","Nintendo",6.420000,4.520000,6.040000,1.370000,18.360000
"Super Mario Land","GB",1989,"Platform","Nintendo",10.830000,2.710000,4.180000,0.420000,18.140000
"Super Mario Bros. 3","NES",1988,"Platform","Nintendo",9.540000,3.440000,3.840000,0.460000,17.280000
"Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",9.630000,5.310000,0.060000,1.380000,16.380000
"Grand Theft Auto: Vice City","PS2",2002,"Action","Take-Two Interactive",8.410000,5.490000,0.470000,1.780000,16.150000
"Pokemon Ruby/Pokemon Sapphire","GBA",2002,"Role-Playing","Nintendo",6.060000,3.900000,5.380000,0.500000,15.850000
"Pokemon Black/Pokemon White","DS",2010,"Role-Playing","Nintendo",5.570000,3.280000,5.650000,0.820000,15.320000
"Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle","Nintendo",3.440000,5.360000,5.320000,1.180000,15.300000
"Gran Turismo 3: A-Spec","PS2",2001,"Racing","Sony Computer Entertainment",6.850000,5.090000,1.870000,1.160000,14.980000
"Call of Duty: Modern Warfare 3","X360",2011,"Shooter","Activision",9.030000,4.280000,0.130000,1.320000,14.760000
"Pokémon Yellow: Special Pikachu Edition","GB",1998,"Role-Playing","Nintendo",5.890000,5.040000,3.120000,0.590000,14.640000
"Call of Duty: Black Ops","X360",2010,"Shooter","Activision",9.670000,3.730000,0.110000,1.130000,14.640000
"Pokemon X/Pokemon Y","3DS",2013,"Role-Playing","Nintendo",5.170000,4.050000,4.340000,0.790000,14.350000
"Call of Duty: Black Ops 3","PS4",2015,"Shooter","Activision",5.770000,5.810000,0.350000,2.310000,14.240000
"Call of Duty: Black Ops II","PS3",2012,"Shooter","Activision",4.990000,5.880000,0.650000,2.520000,14.030000
"Call of Duty: Black Ops II","X360",2012,"Shooter","Activision",8.250000,4.300000,0.070000,1.120000,13.730000
"Call of Duty: Modern Warfare 2","X360",2009,"Shooter","Activision",8.520000,3.630000,0.080000,1.290000,13.510000
"Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.540000,5.820000,0.490000,1.620000,13.460000
"Grand Theft Auto III","PS2",2001,"Action","Take-Two Interactive",6.990000,4.510000,0.300000,1.300000,13.100000
"Super Smash Bros. Brawl","Wii",2008,"Fighting","Nintendo",6.750000,2.610000,2.660000,1.020000,13.040000
"Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",5.980000,4.440000,0.480000,1.830000,12.730000
"Animal Crossing: Wild World","DS",2005,"Simulation","Nintendo",2.550000,3.520000,5.330000,0.880000,12.270000
"Mario Kart 7","3DS",2011,"Racing","Nintendo",4.740000,3.910000,2.670000,0.890000,12.210000
"Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.970000,2.830000,0.130000,1.210000,12.140000
"Grand Theft Auto V","PS4",2014,"Action","Take-Two Interactive",3.800000,5.810000,0.360000,2.020000,11.980000
"Pokemon HeartGold/Pokemon SoulSilver","DS",2009,"Action","Nintendo",4.400000,2.770000,3.960000,0.770000,11.900000
"Super Mario 64","N64",1996,"Platform","Nintendo",6.910000,2.850000,1.910000,0.230000,11.890000
"Gran Turismo 4","PS2",2004,"Racing","Sony Computer Entertainment",3.010000,0.010000,1.100000,7.530000,11.660000
"Super Mario Galaxy","Wii",2007,"Platform","Nintendo",6.160000,3.400000,1.200000,0.760000,11.520000
"Pokemon Omega Ruby/Pokemon Alpha Sapphire","3DS",2014,"Role-Playing","Nintendo",4.230000,3.370000,3.080000,0.650000,11.330000
"Super Mario Land 2: 6 Golden Coins","GB",1992,"Adventure","Nintendo",6.160000,2.040000,2.690000,0.290000,11.180000
"Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.760000,3.100000,0.140000,1.030000,11.020000
"Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.020000,3.870000,2.540000,0.520000,10.950000
"Super Mario 3D Land","3DS",2011,"Platform","Nintendo",4.890000,2.990000,2.130000,0.780000,10.790000
"Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.960000,4.880000,0.810000,2.120000,10.770000
"Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.990000,3.690000,0.380000,1.630000,10.690000
"Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.760000,3.760000,0.440000,1.620000,10.570000
"Super Mario All-Stars","SNES",1993,"Platform","Nintendo",5.990000,2.150000,2.120000,0.290000,10.550000
"Pokemon FireRed/Pokemon LeafGreen","GBA",2004,"Role-Playing","Nintendo",4.340000,2.650000,3.150000,0.350000,10.490000
"Super Mario 64","DS",2004,"Platform","Nintendo",5.080000,3.110000,1.250000,0.980000,10.420000
"Just Dance 3","Wii",2011,"Misc","Ubisoft",6.050000,3.150000,0.000000,1.070000,10.260000
"Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.720000,2.630000,0.040000,0.820000,10.210000
"Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.030000,1.980000,0.080000,0.780000,9.880000
"Mario Kart 64","N64",1996,"Racing","Nintendo",5.550000,1.940000,2.230000,0.150000,9.870000
"New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.660000,3.070000,2.470000,0.630000,9.820000
"Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.630000,2.360000,0.040000,0.730000,9.760000
"Final Fantasy VII","PS",1997,"Role-Playing","Sony Computer Entertainment",3.010000,2.470000,3.280000,0.960000,9.720000
"Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.090000,3.730000,0.380000,1.380000,9.590000
"Just Dance 2","Wii",2010,"Misc","Ubisoft",5.840000,2.890000,0.010000,0.780000,9.520000
"Gran Turismo 2","PS",1999,"Racing","Sony Computer Entertainment",3.880000,3.420000,1.690000,0.500000,9.490000
"Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.910000,2.380000,0.130000,0.900000,9.320000
"Donkey Kong Country","SNES",1994,"Platform","Nintendo",4.360000,1.710000,3.000000,0.230000,9.300000
"Minecraft","X360",2013,"Misc","Microsoft Game Studios",5.580000,2.830000,0.020000,0.770000,9.200000
"Animal Crossing: New Leaf","3DS",2012,"Simulation","Nintendo",2.010000,2.320000,4.360000,0.410000,9.090000
"Mario Party DS","DS",2007,"Misc","Nintendo",4.460000,1.880000,1.980000,0.700000,9.020000
"The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.030000,2.860000,0.100000,0.850000,8.840000
"Super Mario Kart","SNES",1992,"Racing","Nintendo",3.540000,1.240000,3.810000,0.180000,8.760000
"FIFA 16","PS4",2015,"Sports","Electronic Arts",1.110000,6.060000,0.060000,1.260000,8.490000
"Wii Party","Wii",2010,"Misc","Nintendo",1.790000,3.530000,2.490000,0.680000,8.490000
"Halo 2","XB",2004,"Shooter","Microsoft Game Studios",6.820000,1.530000,0.050000,0.080000,8.490000
"Mario Party 8","Wii",2007,"Misc","Nintendo",3.810000,2.300000,1.580000,0.730000,8.420000
"Pokemon Black 2/Pokemon White 2","DS",2012,"Role-Playing","Nintendo",2.910000,1.860000,3.140000,0.430000,8.330000
"FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.060000,5.050000,0.130000,2.010000,8.240000
"The Sims 3","PC",2009,"Simulation","Electronic Arts",0.980000,6.420000,0.000000,0.710000,8.110000
"GoldenEye 007","N64",1997,"Shooter","Nintendo",5.800000,2.010000,0.130000,0.150000,8.090000
"Mario & Sonic at the Olympic Games","Wii",2007,"Sports","Sega",2.580000,3.900000,0.660000,0.910000,8.060000
"Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.910000,2.070000,2.730000,0.330000,8.050000
"Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.280000,1.720000,3.630000,0.230000,7.860000
"Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.820000,1.780000,2.690000,0.550000,7.840000
"Pac-Man","2600",1982,"Puzzle","Atari",7.280000,0.450000,0.000000,0.080000,7.810000
"Grand Theft Auto: Liberty City Stories","PSP",2005,"Action","Take-Two Interactive",2.900000,2.830000,0.240000,1.750000,7.720000
"Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.660000,2.420000,0.980000,0.640000,7.690000
"Star Wars Battlefront (2015)","PS4",2015,"Shooter","Electronic Arts",2.930000,3.290000,0.220000,1.230000,7.670000
"Call of Duty: Advanced Warfare","PS4",2014,"Shooter","Activision",2.800000,3.300000,0.140000,1.370000,7.600000
"The Legend of Zelda: Ocarina of Time","N64",1998,"Action","Nintendo",4.100000,1.890000,1.450000,0.160000,7.600000
"Crash Bandicoot 2: Cortex Strikes Back","PS",1997,"Platform","Sony Computer Entertainment",3.780000,2.170000,1.310000,0.310000,7.580000
"Super Mario Bros. 2","NES",1988,"Platform","Nintendo",5.390000,1.180000,0.700000,0.190000,7.460000
"Super Smash Bros. for Wii U and 3DS","3DS",2014,"Fighting","Nintendo",3.240000,1.350000,2.420000,0.430000,7.450000
"Call of Duty: World at War","X360",2008,"Shooter","Activision",4.790000,1.900000,0.000000,0.690000,7.370000
"Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.460000,2.130000,0.060000,0.690000,7.340000
"The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.830000,2.190000,0.600000,0.700000,7.310000
"Call of Duty: Black Ops 3","XOne",2015,"Shooter","Activision",4.520000,2.090000,0.010000,0.670000,7.300000
"Just Dance","Wii",2009,"Misc","Ubisoft",3.510000,3.030000,0.000000,0.730000,7.270000
"Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.850000,2.930000,0.350000,1.100000,7.230000
"Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.270000,2.830000,0.080000,1.020000,7.200000
"Tekken 3","PS",1998,"Fighting","Sony Computer Entertainment",3.270000,2.220000,1.400000,0.290000,7.160000
"Crash Bandicoot 3: Warped","PS",1998,"Platform","Sony Computer Entertainment",3.680000,1.750000,1.420000,0.280000,7.130000
"Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.410000,1.040000,1.390000,0.220000,7.070000
"Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.130000,2.070000,1.270000,0.490000,6.960000
"Fallout 4","PS4",2015,"Role-Playing","Bethesda Softworks",2.470000,3.150000,0.240000,1.100000,6.960000
"Mario Kart: Double Dash!!","GC",2003,"Racing","Nintendo",4.120000,1.770000,0.870000,0.190000,6.950000
"Just Dance 4","Wii",2012,"Misc","Ubisoft",4.140000,2.210000,0.000000,0.560000,6.910000
"FIFA 14","PS3",2013,"Sports","Electronic Arts",0.780000,4.320000,0.070000,1.730000,6.900000
"Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.710000,3.020000,0.080000,1.090000,6.900000
"Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.930000,2.750000,0.170000,0.990000,6.830000
"Uncharted 3: Drakes Deception","PS3",2011,"Action","Sony Computer Entertainment",2.770000,2.800000,0.190000,1.060000,6.830000
"Crash Bandicoot","PS",1996,"Platform","Sony Computer Entertainment",3.230000,2.350000,0.940000,0.300000,6.820000
"Zumba Fitness","Wii",2010,"Sports","505 Games",3.500000,2.640000,0.000000,0.670000,6.810000
"Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.150000,1.920000,0.060000,0.640000,6.760000
"Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.270000,2.250000,0.210000,1.000000,6.730000
"Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.100000,2.300000,0.280000,1.040000,6.720000
"FIFA 12","PS3",2011,"Sports","Electronic Arts",0.840000,4.320000,0.110000,1.420000,6.690000
"Big Brain Academy","DS",2005,"Misc","Nintendo",1.670000,2.780000,1.600000,0.620000,6.670000
"Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.790000,2.610000,0.170000,1.030000,6.600000
"FIFA 15","PS4",2014,"Sports","Electronic Arts",0.790000,4.290000,0.050000,1.470000,6.590000
"Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.250000,1.840000,1.030000,0.470000,6.590000
"The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.550000,2.710000,0.250000,1.050000,6.560000
"The Legend of Zelda","NES",1986,"Action","Nintendo",3.740000,0.930000,1.690000,0.140000,6.510000
"Assassins Creed III","PS3",2012,"Action","Ubisoft",2.640000,2.560000,0.160000,1.140000,6.500000
"Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.980000,1.300000,0.080000,0.070000,6.430000
"Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.570000,1.580000,2.060000,0.210000,6.410000
"Kingdom Hearts","PS2",2002,"Role-Playing","Sony Computer Entertainment",3.640000,1.200000,1.490000,0.070000,6.400000
"Pokémon Crystal Version","GB",2000,"Role-Playing","Nintendo",2.550000,1.560000,1.290000,0.990000,6.390000
"Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.340000,1.350000,0.060000,0.610000,6.360000
"Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.700000,1.970000,0.090000,0.570000,6.340000
"Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.010000,1.260000,0.870000,0.170000,6.310000
"Street Fighter II: The World Warrior","SNES",1992,"Fighting","Capcom",2.470000,0.830000,2.870000,0.120000,6.300000
"World of Warcraft","PC",2004,"Role-Playing","Activision",0.070000,6.210000,0.000000,0.000000,6.280000
"Driver","PS",1999,"Action","GT Interactive",3.110000,2.800000,0.020000,0.330000,6.270000
"Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.920000,1.780000,0.030000,0.510000,6.240000
"Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.050000,1.620000,0.070000,0.490000,6.240000
"Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.540000,1.900000,0.070000,0.600000,6.110000
"Metal Gear Solid 2: Sons of Liberty","PS2",2001,"Action","Konami Digital Entertainment",2.450000,2.010000,0.870000,0.720000,6.050000
"Sonic the Hedgehog 2","GEN",1992,"Platform","Sega",4.470000,1.200000,0.160000,0.190000,6.030000
"Metal Gear Solid 4: Guns of the Patriots","PS3",2008,"Action","Konami Digital Entertainment",2.630000,1.740000,0.830000,0.830000,6.030000
"Metal Gear Solid","PS",1998,"Action","Konami Digital Entertainment",3.180000,1.830000,0.780000,0.240000,6.030000
"The Last of Us","PS3",2013,"Action","Sony Computer Entertainment Europe",2.410000,2.280000,0.280000,1.010000,5.990000
"Final Fantasy XII","PS2",2006,"Role-Playing","Square Enix",1.880000,0.000000,2.330000,1.740000,5.950000
"LittleBigPlanet","PS3",2008,"Platform","Sony Computer Entertainment",2.800000,2.050000,0.170000,0.900000,5.920000
"Dragon Quest IX: Sentinels of the Starry Skies","DS",2009,"Role-Playing","Nintendo",0.660000,0.690000,4.350000,0.150000,5.840000
"LEGO Star Wars: The Complete Saga","Wii",2007,"Action","LucasArts",3.660000,1.630000,0.000000,0.530000,5.830000
"Resident Evil 2","PS",1998,"Action","Virgin Interactive",1.880000,1.470000,2.020000,0.450000,5.820000
"Tekken 2","PS",1996,"Fighting","Sony Computer Entertainment",2.260000,1.890000,1.360000,0.230000,5.740000
"Cooking Mama","DS",2006,"Simulation","505 Games",3.130000,1.940000,0.070000,0.580000,5.720000
"Destiny","PS4",2014,"Shooter","Activision",2.490000,2.050000,0.160000,0.960000,5.650000
"Tetris","NES",1988,"Puzzle","Nintendo",2.970000,0.690000,1.810000,0.110000,5.580000
"Assassins Creed II","PS3",2009,"Action","Ubisoft",2.540000,1.950000,0.210000,0.870000,5.570000
"Super Smash Bros.","N64",1999,"Fighting","Nintendo",2.950000,0.600000,1.970000,0.040000,5.550000
"Assassins Creed","X360",2007,"Adventure","Ubisoft",3.280000,1.650000,0.070000,0.550000,5.550000
"Batman: Arkham City","PS3",2011,"Action","Warner Bros. Interactive Entertainment",2.700000,1.910000,0.110000,0.800000,5.530000
"Forza Motorsport 3","X360",2009,"Racing","Microsoft Game Studios",2.990000,1.920000,0.100000,0.510000,5.510000
"Monster Hunter Freedom Unite","PSP",2008,"Role-Playing","Capcom",0.470000,0.570000,4.130000,0.340000,5.500000
"Super Mario Advance","GBA",2001,"Platform","Nintendo",3.140000,1.240000,0.910000,0.200000,5.490000
"Mario Kart: Super Circuit","GBA",2001,"Racing","Nintendo",2.620000,1.640000,0.990000,0.230000,5.470000
"Super Mario World","GBA",2001,"Platform","Nintendo",3.210000,1.110000,0.950000,0.200000,5.460000
"Pokemon Stadium","N64",1999,"Strategy","Nintendo",3.180000,1.240000,0.940000,0.090000,5.450000
"Call of Duty: World at War","PS3",2008,"Shooter","Activision",2.720000,1.870000,0.000000,0.840000,5.430000
"Crash Bandicoot: The Wrath of Cortex","PS2",2001,"Platform","Universal Interactive",2.070000,2.290000,0.240000,0.820000,5.420000
"Minecraft","PS3",2014,"Misc","Sony Computer Entertainment",1.970000,2.510000,0.000000,0.940000,5.420000
"Final Fantasy XIII","PS3",2009,"Role-Playing","Square Enix",1.740000,1.240000,1.870000,0.520000,5.360000
"Dr. Mario","GB",1989,"Puzzle","Nintendo",2.180000,0.960000,2.000000,0.200000,5.340000
"Pokemon Pinball","GB",1999,"Misc","Nintendo",3.020000,1.120000,1.010000,0.160000,5.310000
"Assassins Creed III","X360",2012,"Action","Ubisoft",3.130000,1.710000,0.030000,0.440000,5.300000
"Final Fantasy IX","PS",2000,"Role-Playing","SquareSoft",1.620000,0.770000,2.780000,0.140000,5.300000
"Final Fantasy X-2","PS2",2003,"Role-Playing","Electronic Arts",1.920000,1.080000,2.110000,0.170000,5.290000
"Donkey Kong 64","N64",1999,"Platform","Nintendo",3.330000,0.790000,1.090000,0.060000,5.270000
"Assassins Creed II","X360",2009,"Action","Ubisoft",3.100000,1.560000,0.080000,0.510000,5.270000
"Professor Layton and the Curious Village","DS",2007,"Puzzle","Nintendo",1.220000,2.480000,1.030000,0.520000,5.260000
"Tomb Raider II","PS",1997,"Action","Eidos Interactive",2.300000,2.460000,0.200000,0.280000,5.240000
"Dragon Quest VIII: Journey of the Cursed King","PS2",2004,"Role-Playing","Square Enix",0.650000,0.750000,3.610000,0.200000,5.210000
"Diablo III","PC",2012,"Role-Playing","Activision",2.430000,2.150000,0.000000,0.620000,5.200000
"Super Mario Bros. 3","GBA",2003,"Platform","Nintendo",2.930000,1.250000,0.830000,0.200000,5.200000
"New Super Mario Bros. U","WiiU",2012,"Platform","Nintendo",2.320000,1.300000,1.270000,0.310000,5.190000
"Super Mario Land 3: Wario Land","GB",1994,"Platform","Nintendo",2.490000,0.980000,1.570000,0.150000,5.190000
"FIFA Soccer 13","X360",2012,"Action","Electronic Arts",1.080000,3.480000,0.030000,0.580000,5.180000
"The Legend of Zelda: Phantom Hourglass","DS",2007,"Action","Nintendo",1.900000,1.830000,0.950000,0.490000,5.170000
"Donkey Kong Country 2: Diddys Kong Quest","SNES",1995,"Platform","Nintendo",2.100000,0.740000,2.200000,0.110000,5.150000
"Tomodachi Life","3DS",2013,"Simulation","Nintendo",0.960000,2.020000,1.890000,0.280000,5.150000
"Mario & Sonic at the Olympic Games","DS",2008,"Sports","Sega",1.640000,2.480000,0.440000,0.580000,5.140000
"Medal of Honor: Rising Sun","PS2",2003,"Shooter","Electronic Arts",1.980000,2.230000,0.130000,0.800000,5.130000
"Kirbys Dream Land","GB",1992,"Platform","Nintendo",2.710000,0.610000,1.700000,0.110000,5.130000
"Fable III","X360",2010,"Role-Playing","Microsoft Game Studios",3.590000,1.110000,0.050000,0.380000,5.130000
"Call of Duty: Advanced Warfare","XOne",2014,"Shooter","Activision",3.210000,1.530000,0.010000,0.380000,5.130000
"Microsoft Flight Simulator","PC",1996,"Simulation","Microsoft Game Studios",3.220000,1.690000,0.000000,0.200000,5.120000
"Guitar Hero II","PS2",2006,"Misc","RedOctane",3.810000,0.630000,0.000000,0.680000,5.120000
"Resident Evil 5","PS3",2009,"Action","Capcom",1.960000,1.430000,1.080000,0.650000,5.110000
"Grand Theft Auto V","XOne",2014,"Action","Take-Two Interactive",2.660000,2.010000,0.000000,0.410000,5.080000
"Grand Theft Auto: Vice City Stories","PSP",2006,"Action","Take-Two Interactive",1.700000,2.020000,0.160000,1.210000,5.080000
"FIFA Soccer 11","PS3",2010,"Sports","Electronic Arts",0.600000,3.290000,0.060000,1.130000,5.080000
"Super Mario Bros.","GB",1999,"Platform","Nintendo",3.400000,1.300000,0.150000,0.220000,5.070000
"Resident Evil","PS",1996,"Action","Virgin Interactive",2.050000,1.160000,1.110000,0.730000,5.050000
"Tony Hawks Pro Skater","PS",1999,"Sports","Activision",3.420000,1.380000,0.020000,0.200000,5.020000
"Super Smash Bros. for Wii U and 3DS","WiiU",2014,"Fighting","Nintendo",2.590000,1.060000,0.800000,0.570000,5.020000
"Warzone 2100","PS",1999,"Strategy","Eidos Interactive",2.790000,1.890000,0.000000,0.330000,5.010000
"Spyro the Dragon","PS",1998,"Platform","Sony Computer Entertainment",3.360000,1.360000,0.070000,0.210000,5.000000
"Links Crossbow Training","Wii",2007,"Shooter","Nintendo",3.060000,1.180000,0.290000,0.460000,5.000000
"Guitar Hero III: Legends of Rock","PS2",2007,"Misc","Activision",3.490000,0.010000,0.010000,1.480000,4.980000
"Fallout 3","X360",2008,"Role-Playing","Bethesda Softworks",3.390000,1.030000,0.090000,0.440000,4.960000
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS",2007,"Role-Playing","Nintendo",1.850000,1.200000,1.540000,0.370000,4.960000
